"Cidade","População"
"Ituberá","28602"
"Laje","3955"
"Santa Cruz Cabrália","27778"
"Serra do Ramalho","31472"
"Umburanas","19222"
"Vereda","6205"
"Aldeias Altas","26532"
"Araguanã","15426"
"Barreirinhas","62528"
"Boa Vista do Gurupi","9287"
"Bom Jesus das Selvas","34028"
"Centro do Guilherme","13458"
"Dom Pedro","23350"
"Esperantinópolis","17241"
"Guimarães","12030"
"João Lisboa","23632"
"Paraibano","21386"
"Pedreiras","39229"
"Pedro do Rosário","25144"
"Presidente Vargas","11193"
"Santo Antônio dos Lopes","14528"
"São Bento","79242"
"São Mateus do Maranhão","41529"
"Senador Alexandre Costa","11141"
"Timbiras","29124"
"Vitória do Mearim","32764"
"Bertolínia","5501"
"Betânia do Piauí","6205"
"Buriti dos Lopes","19781"
"Coivaras","4020"
"Marcolândia","8492"
"Marcos Parente","4549"
"Morro do Chapéu do Piauí","6796"
"Parnaíba","153078"
"Pio IX","18425"
"Acarape","14929"
"Antonina do Norte","7353"
"Aracati","74547"
"Aratuba","11847"
"Banabuiú","18197"
"Camocim","63661"
"Coreaú","23136"
"Crato","132123"
"Guaramiranga","5193"
"Itarema","41826"
"Jardim","27174"
"Morada Nova","61890"
"Morrinhos","22534"
"Nova Russas","32328"
"Orós","21427"
"Pacoti","12261"
"Paramoti","12226"
"Quiterianópolis","21084"
"Quixelô","16178"
"Reriutaba","18491"
"Santana do Acaraú","32452"
"Santa Quitéria","43703"
"Senador Sá","7623"
"Tabuleiro do Norte","30697"
"Tejuçuoca","19187"
"Umirim","19825"
"Uruburetama","21850"
"Uruoca","13840"
"Varjota","18420"
"Acari","11136"
"Lagoa Salgada","8245"
"Macaíba","80792"
"Paraú","3768"
"Porto do Mangue","6437"
"Santana do Matos","12791"
"Senador Elói de Souza","6086"
"Serra de São Bento","5762"
"Aroeiras","19153"
"Barra de Santana","8359"
"Borborema","5263"
"Gado Bravo","8316"
"Ingá","18103"
"João Pessoa","809015"
"Sousa","69444"
"Tacima","10911"
"Teixeira","15161"
"Umbuzeiro","9907"
"Agrestina","24885"
"Araçoiaba","20524"
"Barreiros","42659"
"Bezerros","60798"
"Cabo de Santo Agostinho","207048"
"Camutanga","8551"
"Carpina","83641"
"Gameleira","31052"
"Inajá","23247"
"João Alfredo","33822"
"Lajedo","40288"
"Nazaré da Mata","32471"
"Salgueiro","60930"
"São Benedito do Sul","15895"
"São José da Coroa Grande","21298"
"Trindade","30521"
